backend,mode,repeat,warmup,tick,frames,wall_ms
wan,stepwise,2,False,4,12,582.4928968213499
wan,stepwise,2,False,5,12,587.1235253289342
wan,stepwise,2,False,6,12,582.2959616780281
wan,stepwise,2,False,7,12,583.307086955756
wan,stepwise,2,False,8,12,582.4276842176914
wan,stepwise,2,False,9,12,584.4382271170616
wan,stepwise,2,False,10,12,611.3121407106519
wan,stepwise,2,False,11,12,586.5203030407429
wan,stepwise,2,False,12,12,580.7548952288926
wan,stepwise,2,False,13,12,579.6894109807909
wan,stepwise,2,False,14,12,582.7489108778536
wan,stepwise,2,False,15,12,587.2274721041322
wan,stepwise,2,False,16,12,579.7194070182741
wan,stepwise,2,False,17,12,581.5972168929875
wan,stepwise,2,False,18,12,582.5694520026445
wan,stepwise,2,False,19,12,588.6278720572591
wan,stepwise,2,False,20,12,589.4412221387029
wan,stepwise,2,False,21,12,599.5473559014499
wan,stepwise,2,False,22,12,855.6435080245137
wan,stepwise,2,False,23,12,595.3630940057337
wan,stepwise,2,False,24,12,595.080987084657
wan,stepwise,2,False,25,12,587.3207566328347
wan,stepwise,2,False,26,12,593.999385368079
wan,stepwise,2,False,27,12,594.5870107971132
wan,stepwise,2,False,28,12,583.816350903362
wan,stepwise,2,False,29,12,603.042155969888
wan,stepwise,2,False,30,12,589.9238171987236
wan,stepwise,2,False,31,12,583.6839978583157
wan,stepwise,2,False,32,12,591.342587955296
wan,stepwise,2,False,33,12,591.4207049645483
wan,stepwise,2,False,34,12,588.3033322170377
wan,stepwise,3,False,0,9,582.7030972577631
wan,stepwise,3,False,1,12,587.8429091535509
wan,stepwise,3,False,2,12,586.7468379437923
wan,stepwise,3,False,3,12,598.0775319039822
wan,stepwise,3,False,4,12,582.9157400876284
wan,stepwise,3,False,5,12,588.8621406629682
wan,stepwise,3,False,6,12,590.2481861412525
wan,stepwise,3,False,7,12,590.9243058413267
wan,stepwise,3,False,8,12,587.8515662625432
wan,stepwise,3,False,9,12,589.3850517459214
wan,stepwise,3,False,10,12,586.785439401865
wan,stepwise,3,False,11,12,584.5026918686926
wan,stepwise,3,False,12,12,588.7501928955317
wan,stepwise,3,False,13,12,595.3251379542053
wan,stepwise,3,False,14,12,580.812409054488
wan,stepwise,3,False,15,12,588.0186888389289
wan,stepwise,3,False,16,12,585.2632410824299
wan,stepwise,3,False,17,12,592.9782302118838
wan,stepwise,3,False,18,12,587.1643489226699
wan,stepwise,3,False,19,12,579.8856560140848
wan,stepwise,3,False,20,12,583.2959958352149
wan,stepwise,3,False,21,12,585.8132201246917
wan,stepwise,3,False,22,12,579.8421408981085
wan,stepwise,3,False,23,12,588.3230101317167
wan,stepwise,3,False,24,12,588.7272688560188
wan,stepwise,3,False,25,12,581.0586339794099
wan,stepwise,3,False,26,12,586.8830000981688
wan,stepwise,3,False,27,12,590.4332152567804
wan,stepwise,3,False,28,12,587.4512786976993
wan,stepwise,3,False,29,12,585.0370172411203
wan,stepwise,3,False,30,12,596.8539919704199
wan,stepwise,3,False,31,12,629.1124457493424
wan,stepwise,3,False,32,12,626.9881459884346
wan,stepwise,3,False,33,12,595.7193979993463
wan,stepwise,3,False,34,12,583.8766363449395
taew2_2,typed,0,True,0,9,3774.556796066463
taew2_2,typed,0,True,1,12,328.7160429172218
taew2_2,typed,0,True,2,12,303.756199311465
taew2_2,typed,0,True,3,12,302.1395308896899
taew2_2,typed,0,True,4,12,319.89176478236914
taew2_2,typed,0,True,5,12,326.3106206431985
taew2_2,typed,0,True,6,12,307.59141501039267
taew2_2,typed,0,True,7,12,313.98367090150714
taew2_2,typed,0,True,8,12,309.8803027532995
taew2_2,typed,0,True,9,12,314.1116281040013
taew2_2,typed,0,True,10,12,299.38310012221336
taew2_2,typed,0,True,11,12,301.33134592324495
taew2_2,typed,0,True,12,12,336.34936483576894
taew2_2,typed,0,True,13,12,318.09635274112225
taew2_2,typed,0,True,14,12,310.944152995944
taew2_2,typed,0,True,15,12,327.2521919570863
taew2_2,typed,0,True,16,12,320.00121008604765
taew2_2,typed,0,True,17,12,314.9834000505507
taew2_2,typed,0,True,18,12,315.00561023131013
taew2_2,typed,0,True,19,12,307.7971930615604
taew2_2,typed,0,True,20,12,309.6588607877493
taew2_2,typed,0,True,21,12,315.3996020555496
taew2_2,typed,0,True,22,12,310.45187590643764
taew2_2,typed,0,True,23,12,326.38905476778746
taew2_2,typed,0,True,24,12,308.4819447249174
taew2_2,typed,0,True,25,12,313.365810085088
taew2_2,typed,0,True,26,12,318.36719205603004
taew2_2,typed,0,True,27,12,315.12824166566133
taew2_2,typed,0,True,28,12,306.37540807947516
taew2_2,typed,0,True,29,12,332.19070034101605
taew2_2,typed,0,True,30,12,310.9578690491617
taew2_2,typed,0,True,31,12,316.09348580241203
taew2_2,typed,0,True,32,12,324.29175497964025
taew2_2,typed,0,True,33,12,313.0884892307222
